Product Name,Product Description ,Manufacturer Name,SKU/Item Number ,MFG Sku ),Color Size Sku,Size Code,Weight (oz),Color 1 Name,Color 2 Name,Color 1 Hex Value,Color 2 Hex Value,Supplier Name ,Customer Price ,GTIN/UPC Code,Search Tags,Front Image,Back Image,Third Image,Fourth Image,Pre-Decorated Item,Max Imprint Colors,Minimum Per Order
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009N80L,A06,4.1552,WHITE,,#E7E6E7,,DELTA APPAREL,2.64,027362012786,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009N80.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009N80XL,A07,4.7728,WHITE,,#E7E6E7,,DELTA APPAREL,2.64,027362012816,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009N80.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYFS,A04,4.1024,ROYAL,,#2e48a1,,DELTA APPAREL,3.64,027362019297,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYFM,A05,4.5424,ROYAL,,#2e48a1,,DELTA APPAREL,3.64,027362019280,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYFL,A06,5.5072,ROYAL,,#2e48a1,,DELTA APPAREL,3.64,027362019273,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYFXL,A07,6.0384,ROYAL,,#2e48a1,,DELTA APPAREL,3.64,027362019303,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYF2X,A08,6.8240,ROYAL,,#2e48a1,,DELTA APPAREL,5.13,027362019310,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYF3X,A11,7.3424,ROYAL,,#2e48a1,,DELTA APPAREL,5.13,027362019327,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYF.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYYS,A04,4.1024,DEEP NAVY,,#253255,,DELTA APPAREL,3.64,027362019358,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYYM,A05,4.5424,DEEP NAVY,,#253255,,DELTA APPAREL,3.64,027362019341,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYYL,A06,5.5072,DEEP NAVY,,#253255,,DELTA APPAREL,3.64,027362019334,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYYXL,A07,6.0384,DEEP NAVY,,#253255,,DELTA APPAREL,3.64,027362019365,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYY2X,A08,6.8240,DEEP NAVY,,#253255,,DELTA APPAREL,5.13,027362019372,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535BYY3X,A11,7.3424,DEEP NAVY,,#253255,,DELTA APPAREL,5.13,027362019389,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535BYY.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7GS,A04,4.1024,BLACK,,#262626,,DELTA APPAREL,3.64,027362019419,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7GM,A05,4.5424,BLACK,,#262626,,DELTA APPAREL,3.64,027362019402,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7GL,A06,5.5072,BLACK,,#262626,,DELTA APPAREL,3.64,027362019396,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7GXL,A07,6.0384,BLACK,,#262626,,DELTA APPAREL,3.64,027362019426,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7G2X,A08,6.8240,BLACK,,#262626,,DELTA APPAREL,5.13,027362019433,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E7G3X,A11,7.3424,BLACK,,#262626,,DELTA APPAREL,5.13,027362019440,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E7G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E8GS,A04,4.1024,CHARCOAL,,#606468,,DELTA APPAREL,3.64,027362019471,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E8G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E8GM,A05,4.5424,CHARCOAL,,#606468,,DELTA APPAREL,3.64,027362019464,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E8G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E8GL,A06,5.5072,CHARCOAL,,#606468,,DELTA APPAREL,3.64,027362019457,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E8G.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult Performance Short Sleeve Tee,Delta Apparel,116535,116535,116535E8GXL,A07,6.0384,CHARCOAL,,#606468,,DELTA APPAREL,3.64,027362019488,116535 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/116535E8G.png,,,,,,
